bodega,estado,precio_eur,tipo_probable,confianza,contexto,url,metodo,fecha_consulta
Bodegas Páez Morilla,ok,24.0,visita + cata,alta,erez Bodega Santa Lucía (Museo): incluye lo descrito en VISITA MUSEO + CATA TIERRA BLANCA 24 €/PERSONA (DESCUENTO DEL 50 % PARA MENORES DE 18 AÑOS ACOMPAÑADOS POR UN ADULTO) VISITA MIX,https://www.bodegaspaezmorilla.net/visitas,requests,2026-07-22
Bodegas Páez Morilla,ok,35.0,visita + cata,alta,MIXTA Tonelería + Bodega de Sherry Casks + bodega de vinagre de Jerez+ cata Tierra Blanca 35 €/PERSONA (DESCUENTO DEL 50 % PARA MENORES DE 18 AÑOS ACOMPAÑADOS POR UN ADULTO) visita bod,https://www.bodegaspaezmorilla.net/visitas,requests,2026-07-22
Bodegas Páez Morilla,ok,20.0,visita,alta,rez SOLO BAJO RESERVA PREVIA Escríbanos a visitas@paezmorilla.com o llame al 956 18 17 17 20 €/PERSONA (DESCUENTO DEL 50 % PARA MENORES DE 18 AÑOS ACOMPAÑADOS POR UN ADULTO) Reserva tu,https://www.bodegaspaezmorilla.net/visitas,requests,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,6.75,sin clasificar,baja,"y de Andalucía. Anterior Siguiente 1 2 3 4 Destacados en nuestra Tienda Online Deliciosa 6,75 € - 10,90 € Rango de precios: desde 6,75€ hasta 10,90€ Inocente en Rama 8,95 € - 14,50 € Ra",https://www.grupoestevez.es/instalaciones.cfm,navegador,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,10.9,sin clasificar,baja,"alucía. Anterior Siguiente 1 2 3 4 Destacados en nuestra Tienda Online Deliciosa 6,75 € - 10,90 € Rango de precios: desde 6,75€ hasta 10,90€ Inocente en Rama 8,95 € - 14,50 € Rango de pre",https://www.grupoestevez.es/instalaciones.cfm,navegador,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,6.75,sin clasificar,baja,"4 Destacados en nuestra Tienda Online Deliciosa 6,75 € - 10,90 € Rango de precios: desde 6,75€ hasta 10,90€ Inocente en Rama 8,95 € - 14,50 € Rango de precios: desde 8,95€ hasta 14,50€",https://www.grupoestevez.es/instalaciones.cfm,navegador,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,10.9,sin clasificar,baja,"s en nuestra Tienda Online Deliciosa 6,75 € - 10,90 € Rango de precios: desde 6,75€ hasta 10,90€ Inocente en Rama 8,95 € - 14,50 € Rango de precios: desde 8,95€ hasta 14,50€ Tio Diego 17",https://www.grupoestevez.es/instalaciones.cfm,navegador,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,8.95,sin clasificar,baja,"ne Deliciosa 6,75 € - 10,90 € Rango de precios: desde 6,75€ hasta 10,90€ Inocente en Rama 8,95 € - 14,50 € Rango de precios: desde 8,95€ hasta 14,50€ Tio Diego 17,95 € Deliciosa en Rama",https://www.grupoestevez.es/instalaciones.cfm,navegador,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,14.5,sin clasificar,baja,"osa 6,75 € - 10,90 € Rango de precios: desde 6,75€ hasta 10,90€ Inocente en Rama 8,95 € - 14,50 € Rango de precios: desde 8,95€ hasta 14,50€ Tio Diego 17,95 € Deliciosa en Rama 9,50 € P.X",https://www.grupoestevez.es/instalaciones.cfm,navegador,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,8.95,sin clasificar,baja,"ecios: desde 6,75€ hasta 10,90€ Inocente en Rama 8,95 € - 14,50 € Rango de precios: desde 8,95€ hasta 14,50€ Tio Diego 17,95 € Deliciosa en Rama 9,50 € P.X. El Candado 17,95 € Viejo C.P",https://www.grupoestevez.es/instalaciones.cfm,navegador,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,14.5,sin clasificar,baja,"6,75€ hasta 10,90€ Inocente en Rama 8,95 € - 14,50 € Rango de precios: desde 8,95€ hasta 14,50€ Tio Diego 17,95 € Deliciosa en Rama 9,50 € P.X. El Candado 17,95 € Viejo C.P. 59,95 € Car",https://www.grupoestevez.es/instalaciones.cfm,navegador,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,17.95,sin clasificar,baja,"0€ Inocente en Rama 8,95 € - 14,50 € Rango de precios: desde 8,95€ hasta 14,50€ Tio Diego 17,95 € Deliciosa en Rama 9,50 € P.X. El Candado 17,95 € Viejo C.P. 59,95 € Cardenal 145,00 € Ton",https://www.grupoestevez.es/instalaciones.cfm,navegador,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,9.5,sin clasificar,baja,"- 14,50 € Rango de precios: desde 8,95€ hasta 14,50€ Tio Diego 17,95 € Deliciosa en Rama 9,50 € P.X. El Candado 17,95 € Viejo C.P. 59,95 € Cardenal 145,00 € Toneles 240,00 € Ojo de Gall",https://www.grupoestevez.es/instalaciones.cfm,navegador,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,17.95,sin clasificar,baja,"cios: desde 8,95€ hasta 14,50€ Tio Diego 17,95 € Deliciosa en Rama 9,50 € P.X. El Candado 17,95 € Viejo C.P. 59,95 € Cardenal 145,00 € Toneles 240,00 € Ojo de Gallo 9,95 € Nº 3 London Dry",https://www.grupoestevez.es/instalaciones.cfm,navegador,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,59.95,sin clasificar,baja,"asta 14,50€ Tio Diego 17,95 € Deliciosa en Rama 9,50 € P.X. El Candado 17,95 € Viejo C.P. 59,95 € Cardenal 145,00 € Toneles 240,00 € Ojo de Gallo 9,95 € Nº 3 London Dry Gin 40,00 € La Gui",https://www.grupoestevez.es/instalaciones.cfm,navegador,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,145.0,sin clasificar,baja,"iego 17,95 € Deliciosa en Rama 9,50 € P.X. El Candado 17,95 € Viejo C.P. 59,95 € Cardenal 145,00 € Toneles 240,00 € Ojo de Gallo 9,95 € Nº 3 London Dry Gin 40,00 € La Guita 3,75 € - 6,95 €",https://www.grupoestevez.es/instalaciones.cfm,navegador,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,240.0,sin clasificar,baja,"ciosa en Rama 9,50 € P.X. El Candado 17,95 € Viejo C.P. 59,95 € Cardenal 145,00 € Toneles 240,00 € Ojo de Gallo 9,95 € Nº 3 London Dry Gin 40,00 € La Guita 3,75 € - 6,95 € Rango de precios",https://www.grupoestevez.es/instalaciones.cfm,navegador,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,9.95,sin clasificar,baja,".X. El Candado 17,95 € Viejo C.P. 59,95 € Cardenal 145,00 € Toneles 240,00 € Ojo de Gallo 9,95 € Nº 3 London Dry Gin 40,00 € La Guita 3,75 € - 6,95 € Rango de precios: desde 3,75€ hasta",https://www.grupoestevez.es/instalaciones.cfm,navegador,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,40.0,sin clasificar,baja,"o C.P. 59,95 € Cardenal 145,00 € Toneles 240,00 € Ojo de Gallo 9,95 € Nº 3 London Dry Gin 40,00 € La Guita 3,75 € - 6,95 € Rango de precios: desde 3,75€ hasta 6,95€ Derby 6,95 € Actualida",https://www.grupoestevez.es/instalaciones.cfm,navegador,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,3.75,sin clasificar,baja,"rdenal 145,00 € Toneles 240,00 € Ojo de Gallo 9,95 € Nº 3 London Dry Gin 40,00 € La Guita 3,75 € - 6,95 € Rango de precios: desde 3,75€ hasta 6,95€ Derby 6,95 € Actualidad VALDESPINO REF",https://www.grupoestevez.es/instalaciones.cfm,navegador,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,6.95,sin clasificar,baja,"5,00 € Toneles 240,00 € Ojo de Gallo 9,95 € Nº 3 London Dry Gin 40,00 € La Guita 3,75 € - 6,95 € Rango de precios: desde 3,75€ hasta 6,95€ Derby 6,95 € Actualidad VALDESPINO REFUERZA LA",https://www.grupoestevez.es/instalaciones.cfm,navegador,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,3.75,sin clasificar,baja,"Gallo 9,95 € Nº 3 London Dry Gin 40,00 € La Guita 3,75 € - 6,95 € Rango de precios: desde 3,75€ hasta 6,95€ Derby 6,95 € Actualidad VALDESPINO REFUERZA LA AUTENTICIDAD DE SU FINO INOCEN",https://www.grupoestevez.es/instalaciones.cfm,navegador,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,6.95,sin clasificar,baja,"Nº 3 London Dry Gin 40,00 € La Guita 3,75 € - 6,95 € Rango de precios: desde 3,75€ hasta 6,95€ Derby 6,95 € Actualidad VALDESPINO REFUERZA LA AUTENTICIDAD DE SU FINO INOCENTE EMBOTELLÁ",https://www.grupoestevez.es/instalaciones.cfm,navegador,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,6.95,sin clasificar,baja,"Dry Gin 40,00 € La Guita 3,75 € - 6,95 € Rango de precios: desde 3,75€ hasta 6,95€ Derby 6,95 € Actualidad VALDESPINO REFUERZA LA AUTENTICIDAD DE SU FINO INOCENTE EMBOTELLÁNDOLO EXCLUSI",https://www.grupoestevez.es/instalaciones.cfm,navegador,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,40.0,visita,alta,"ia, su tradición, sus soleras centenarias Precios - Visita adultos (a partir de 18 años): 40€/persona. - Visita niños (de 12 a 17 años): 15€/persona. El precio incluye - Visita en cas",https://www.grupoestevez.es/visita-el-alma-de-la-bodega/,navegador,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,15.0,visita + cata,alta,os - Visita adultos (a partir de 18 años): 40€/persona. - Visita niños (de 12 a 17 años): 15€/persona. El precio incluye - Visita en castellano a bodega y pinacoteca. - Cata de vinos,https://www.grupoestevez.es/visita-el-alma-de-la-bodega/,navegador,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,40.0,visita,alta,rá un nuevo BONO especificando la fecha de disfrute. 0€ Visita adulto A partir de 18 años 40 € 40 € 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 3,https://www.grupoestevez.es/visita-el-alma-de-la-bodega/,navegador,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,40.0,visita,alta,nuevo BONO especificando la fecha de disfrute. 0€ Visita adulto A partir de 18 años 40 € 40 € 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32,https://www.grupoestevez.es/visita-el-alma-de-la-bodega/,navegador,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,15.0,visita,alta,186 187 188 189 190 191 192 193 194 195 196 197 198 199 0€ 0€ Visita niño De 12 a 17 años 15 € 15 € 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 3,https://www.grupoestevez.es/visita-el-alma-de-la-bodega/,navegador,2026-07-22
Bodegas Real Tesoro & Valdespino,ok,15.0,visita,alta,87 188 189 190 191 192 193 194 195 196 197 198 199 0€ 0€ Visita niño De 12 a 17 años 15 € 15 € 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32,https://www.grupoestevez.es/visita-el-alma-de-la-bodega/,navegador,2026-07-22
Bodegas Rey Fernando De Castilla,sin_precio,,,,,http://fernandodecastilla.es/,,2026-07-22
Bodegas Tradición,ok,60.0,visita,alta,itas Tienda online ES EN Visita Tradición Duración: 90 minutos Personas: 10 máximo Precio 60€ por persona Duración: 90 minutos Personas: 10 máximo Precio 60€ por persona En Bodegas Tr,https://bodegastradicion.es/index.php/visitas/,requests,2026-07-22
Bodegas Tradición,ok,60.0,sin clasificar,baja,"ersonas: 10 máximo Precio 60€ por persona Duración: 90 minutos Personas: 10 máximo Precio 60€ por persona En Bodegas Tradición se combinan vino y pintura, dos formas de disfrutar de a",https://bodegastradicion.es/index.php/visitas/,requests,2026-07-22
Bodegas Tradición,ok,315.0,visita,alta,único. Visita Profesional / Técnica Duración: 2 a 3 horas Personas: personalizado Precio 315€ por persona Duración: 2 a 3 horas Personas: personalizado Precio 300€ por persona Pensada,https://bodegastradicion.es/index.php/visitas/,requests,2026-07-22
Bodegas Tradición,ok,300.0,sin clasificar,baja,ersonalizado Precio 315€ por persona Duración: 2 a 3 horas Personas: personalizado Precio 300€ por persona Pensada para profesionales del sector o personas que quieren profundizar en e,https://bodegastradicion.es/index.php/visitas/,requests,2026-07-22
Bodegas Williams & Humbert Sau,spa,,,,,https://www.williams-humbert.com/,,2026-07-22
Bodegas Álvaro Domecq,sin_precio,,,,,https://www.alvarodomecq.com/,,2026-07-22
Cooperativa Agrícola Virgen De Palomares,sin_precio,,,,,https://vinosdetrebujena.com/visitas-y-catas/,,2026-07-22
Cooperativa De Viticultores Chiclaneros,sin_precio,,,,,https://www.bodegacooperativa.com/content/10-la-bodega,,2026-07-22
Covisan – Cooperativa Vitivinícola Sanluqueña,sin_precio,,,,,https://covisan.net/,,2026-07-22
Finca La Pintora,ok,50.0,visita con gastronomía/maridaje,alta,"vinos. Descubre nuestros Productos Experiencia enogastronómica CATA MARIDADA 26 DE JUNIO 50,00 € IVA incl. ¡Oferta! Packs – Tintilla & Vermouth 71,50 € El precio original era: 71,50€. 65",https://www.fincalapintora.com/,requests,2026-07-22
Finca La Pintora,ok,71.5,visita + cata,alta,"ronómica CATA MARIDADA 26 DE JUNIO 50,00 € IVA incl. ¡Oferta! Packs – Tintilla & Vermouth 71,50 € El precio original era: 71,50€. 65,00 € El precio actual es: 65,00€. IVA incl. Packs – De",https://www.fincalapintora.com/,requests,2026-07-22
Finca La Pintora,ok,71.5,sin clasificar,baja,"IO 50,00 € IVA incl. ¡Oferta! Packs – Tintilla & Vermouth 71,50 € El precio original era: 71,50€. 65,00 € El precio actual es: 65,00€. IVA incl. Packs – Descubrimiento 90,00 € IVA incl.",https://www.fincalapintora.com/,requests,2026-07-22
Finca La Pintora,ok,65.0,sin clasificar,baja,"€ IVA incl. ¡Oferta! Packs – Tintilla & Vermouth 71,50 € El precio original era: 71,50€. 65,00 € El precio actual es: 65,00€. IVA incl. Packs – Descubrimiento 90,00 € IVA incl. Regala En",https://www.fincalapintora.com/,requests,2026-07-22
Finca La Pintora,ok,65.0,sin clasificar,baja,"Tintilla & Vermouth 71,50 € El precio original era: 71,50€. 65,00 € El precio actual es: 65,00€. IVA incl. Packs – Descubrimiento 90,00 € IVA incl. Regala Enoturismo: Un viaje sensorial",https://www.fincalapintora.com/,requests,2026-07-22
Finca La Pintora,ok,90.0,sin clasificar,baja,"iginal era: 71,50€. 65,00 € El precio actual es: 65,00€. IVA incl. Packs – Descubrimiento 90,00 € IVA incl. Regala Enoturismo: Un viaje sensorial entre viñedos 0,00 € - 70,00 € Rango de p",https://www.fincalapintora.com/,requests,2026-07-22
Finca La Pintora,ok,70.0,sin clasificar,baja,"ubrimiento 90,00 € IVA incl. Regala Enoturismo: Un viaje sensorial entre viñedos 0,00 € - 70,00 € Rango de precios: desde 0,00€ hasta 70,00€ IVA incl. Packs – Chardonnay 38,85 € - 77,70 €",https://www.fincalapintora.com/,requests,2026-07-22
Finca La Pintora,ok,70.0,sin clasificar,baja,"mo: Un viaje sensorial entre viñedos 0,00 € - 70,00 € Rango de precios: desde 0,00€ hasta 70,00€ IVA incl. Packs – Chardonnay 38,85 € - 77,70 € Rango de precios: desde 38,85€ hasta 77,70",https://www.fincalapintora.com/,requests,2026-07-22
Finca La Pintora,ok,38.85,sin clasificar,baja,"0,00 € - 70,00 € Rango de precios: desde 0,00€ hasta 70,00€ IVA incl. Packs – Chardonnay 38,85 € - 77,70 € Rango de precios: desde 38,85€ hasta 77,70€ IVA incl. ¡Oferta! Packs – Tintilla",https://www.fincalapintora.com/,requests,2026-07-22
Finca La Pintora,ok,77.7,sin clasificar,baja,"70,00 € Rango de precios: desde 0,00€ hasta 70,00€ IVA incl. Packs – Chardonnay 38,85 € - 77,70 € Rango de precios: desde 38,85€ hasta 77,70€ IVA incl. ¡Oferta! Packs – Tintilla de Rota 6",https://www.fincalapintora.com/,requests,2026-07-22
Finca La Pintora,ok,38.85,sin clasificar,baja,"0,00€ hasta 70,00€ IVA incl. Packs – Chardonnay 38,85 € - 77,70 € Rango de precios: desde 38,85€ hasta 77,70€ IVA incl. ¡Oferta! Packs – Tintilla de Rota 65,00 € - 172,00 € Rango de prec",https://www.fincalapintora.com/,requests,2026-07-22
Finca La Pintora,ok,77.7,sin clasificar,baja,"0,00€ IVA incl. Packs – Chardonnay 38,85 € - 77,70 € Rango de precios: desde 38,85€ hasta 77,70€ IVA incl. ¡Oferta! Packs – Tintilla de Rota 65,00 € - 172,00 € Rango de precios: desde 65",https://www.fincalapintora.com/,requests,2026-07-22
Finca La Pintora,ok,65.0,sin clasificar,baja,"€ Rango de precios: desde 38,85€ hasta 77,70€ IVA incl. ¡Oferta! Packs – Tintilla de Rota 65,00 € - 172,00 € Rango de precios: desde 65,00€ hasta 172,00€ IVA incl. ¿Dónde nos encontramos?",https://www.fincalapintora.com/,requests,2026-07-22
Finca La Pintora,ok,172.0,sin clasificar,baja,"precios: desde 38,85€ hasta 77,70€ IVA incl. ¡Oferta! Packs – Tintilla de Rota 65,00 € - 172,00 € Rango de precios: desde 65,00€ hasta 172,00€ IVA incl. ¿Dónde nos encontramos? Nuestra Di",https://www.fincalapintora.com/,requests,2026-07-22
Finca La Pintora,ok,65.0,sin clasificar,baja,"0€ IVA incl. ¡Oferta! Packs – Tintilla de Rota 65,00 € - 172,00 € Rango de precios: desde 65,00€ hasta 172,00€ IVA incl. ¿Dónde nos encontramos? Nuestra Dirección Crta. El Bercial Km. 2,",https://www.fincalapintora.com/,requests,2026-07-22
Finca La Pintora,ok,172.0,sin clasificar,baja,"¡Oferta! Packs – Tintilla de Rota 65,00 € - 172,00 € Rango de precios: desde 65,00€ hasta 172,00€ IVA incl. ¿Dónde nos encontramos? Nuestra Dirección Crta. El Bercial Km. 2,5. 11520 Rota,",https://www.fincalapintora.com/,requests,2026-07-22
Finca La Pintora,ok,50.0,visita con gastronomía/maridaje,alta,"DE JUNIO Inicio / Visitas Guiadas / Experiencia enogastronómica CATA MARIDADA 26 DE JUNIO 50,00 € IVA incl. Te invitamos a vivir una experiencia diferente en Finca La Pintora , nuestra pe",https://fincalapintora.com/producto/experiencia-enogastronomica-cata-maridada-26-de-junio/,requests,2026-07-22
Finca La Pintora,ok,70.0,sin clasificar,baja,"edida Productos relacionados Regala Enoturismo: Un viaje sensorial entre viñedos 0,00 € - 70,00 € Rango de precios: desde 0,00€ hasta 70,00€ IVA incl. Finca La Pintora Inicio Sobre la Fin",https://fincalapintora.com/producto/experiencia-enogastronomica-cata-maridada-26-de-junio/,requests,2026-07-22
Finca La Pintora,ok,70.0,visita,alta,"s Inicio / Visitas Guiadas / Regala Enoturismo: Un viaje sensorial entre viñedos 0,00 € - 70,00 € Rango de precios: desde 0,00€ hasta 70,00€ IVA incl. El Alma de Nuestro Viñedo Ecológico",https://fincalapintora.com/producto/experiencias-de-enoturismo/,requests,2026-07-22
Finca La Pintora,ok,50.0,sin clasificar,baja,y auténtica para descubrir el alma de nuestro viñedo. Duración: 3 horas aprox. | Precio: 50€ 2. Para los amantes de la cultura: Enoturismo & Notas Musicales ¿Hay algo mejor que el vi,https://fincalapintora.com/producto/experiencias-de-enoturismo/,requests,2026-07-22
Finca La Pintora,ok,60.0,sin clasificar,baja,"mpaña con música en directo bajo el cielo de la finca. Duración: 4 horas aprox. | Precio: 60€ 3. Para los espíritus creativos: Evento Especial ""Paint & Wine"" El regalo más original. U",https://fincalapintora.com/producto/experiencias-de-enoturismo/,requests,2026-07-22
Finca La Pintora,ok,70.0,visita privada,alta,"iado para que se lleven su propia obra de arte a casa. Duración: 4 horas aprox. | Precio: 70€ 4. Experiencia ""A tu medida"": Eventos Privados y Celebraciones. ¿Quieres regalar algo ver",https://fincalapintora.com/producto/experiencias-de-enoturismo/,requests,2026-07-22
Finca La Pintora,ok,50.0,visita con gastronomía/maridaje,alta,"tos a Medida Productos relacionados Experiencia enogastronómica CATA MARIDADA 26 DE JUNIO 50,00 € IVA incl. Finca La Pintora Inicio Sobre la Finca Tienda Blog Contacto Legal Aviso Legal P",https://fincalapintora.com/producto/experiencias-de-enoturismo/,requests,2026-07-22
Viña El Carmen,spa,,,,,https://vecwines.com/,,2026-07-22
Viña La Torre,ok,50.0,visita + cata,alta,"ÍA ENOTURISMO Catas Eventos e Instalaciones TIENDA BLOG CONTACTO ✕ Catas Sushi en la Viña 50€ Adultos / 30€ Niños Vino, sushi y un cortijo con historia… ¿A qué esperas? Sabemos que te",https://albarizadelatorre.es/enoturismo/catas/,requests,2026-07-22
Viña La Torre,ok,30.0,visita + cata,alta,"Catas Eventos e Instalaciones TIENDA BLOG CONTACTO ✕ Catas Sushi en la Viña 50€ Adultos / 30€ Niños Vino, sushi y un cortijo con historia… ¿A qué esperas? Sabemos que te gusta comer b",https://albarizadelatorre.es/enoturismo/catas/,requests,2026-07-22
Viña La Torre,ok,65.0,sin clasificar,baja,"ue sabes que tienes que hacer. Nos vemos en la viña. Reservar Clases de cocina en la Viña 65€ / Persona Cocina, vino y un cortijo entre viñas… ¿Te lo vas a perder? No es una clase de",https://albarizadelatorre.es/enoturismo/catas/,requests,2026-07-22
Viña La Torre,ok,65.0,sin clasificar,baja,"vienes a cortar, a remover, a brindar y a disfrutar . ¿A qué esperas para apuntarte? Por 65 €, te llevas una noche de sabor, tradición y vino bajo las estrellas. Haz tu reserva y vive",https://albarizadelatorre.es/enoturismo/catas/,requests,2026-07-22
Viña La Torre,ok,30.0,experiencia,alta,"reserva y vive una experiencia que alimenta el alma. Reservar Viña Fest en Viña la Torre 30€ / Persona Música, vino y un festival entre viñas… ¿Te lo vas a perder? No es solo un fest",https://albarizadelatorre.es/enoturismo/catas/,requests,2026-07-22
Viña La Torre,ok,75.0,visita + cata,alta,"erva y ven a celebrar un día que recordarás siempre. Reservar Cata de Burbujas Galanteria 75€ / Persona Cuatro burbujas, un destino único… ¿Listo para brindar? No es una cata cualquie",https://albarizadelatorre.es/enoturismo/catas/,requests,2026-07-22
Viña La Torre,ok,12.0,visita + cata,alta,tu evento y haz que tu celebración sea irrepetible. Contacta con nosotros Viernes de Cata 12€ / Persona La Mejor Forma de Empezar el Fin de Semana ¿Se te ocurre algún plan mejor para,https://albarizadelatorre.es/enoturismo/catas/,requests,2026-07-22
Viña La Torre,ok,45.0,visita con gastronomía/maridaje,alta,añados de un snack. ¡Te esperamos! Reservar Almuerzo/ Cena Visita la bodega y los viñedos 45€ / Persona Descubre el Alma de la Bodega Un festín para los sentidos en el corazón de Viña,https://albarizadelatorre.es/enoturismo/catas/,requests,2026-07-22
Viña La Torre,ok,35.0,visita + cata,alta,"historia, sabor y tradición. Reservar Cata con aperitivo, y 5 de nuestros vinos premiados 35€ / Persona Un Recorrido por la Excelencia Descubre el alma de Albariza de la Torre en una",https://albarizadelatorre.es/enoturismo/catas/,requests,2026-07-22
